;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
9174;masculino;comercio;variedades;popular;2;1;2018-10-24;3000000.0;microempresarial
9175;femenino;servicio;comidas_rapidas;las_esmeraldas;2;4;2016-07-12;6890000.0;microempresarial
9176;femenino;comercio;restaurante;cabecera_san_antonio_;2;80;2019-06-07;3000000.0;microempresarial
9177;masculino;servicio;taller_de_mecanica;moravia;2;4;2017-05-16;5000000.0;microempresarial
9178;femenino;industria;fabrica_de_;campo_valdes_no__1;3;4;2018-09-20;7800000.0;microempresarial
9179;femenino;comercio;variedades;aranjuez;2;4;2018-04-30;6000000.0;microempresarial
9180;masculino;comercio;cafe_e_internet;la_oculta;2;80;2016-08-25;4000000.0;microempresarial
9181;masculino;servicio;barberia;robledo;3;7;2016-03-04;6000000.0;microempresarial
9182;femenino;comercio;panaderia;la_candelaria;3;10;2018-05-03;5500000.0;microempresarial
9183;femenino;servicio;bares;cabecera_san_cristobal;2;60;2019-05-03;8200000.0;microempresarial
9184;femenino;comercio;productos_de_mar;aranjuez;2;4;2016-08-16;6800000.0;microempresarial
9185;femenino;industria;tienda;vrda__san_cristobal_;2;60;2016-01-14;6890000.0;microempresarial
9186;masculino;agropecuaria;sembrados;cabecera_san_cristobal;2;60;2017-03-31;1000000.0;agropecuaria
9187;femenino;comercio;comidas_rapidas;manrique_oriental;3;10;2019-06-14;3457000.0;microempresarial
9188;masculino;comercio;variedades;buenos_aires;2;9;2017-07-19;4400000.0;credioportuno
9189;masculino;servicio;barberia;robledo;2;7;2017-06-30;5000000.0;microempresarial
9190;masculino;comercio;fabrica_de_;el_salvador;3;9;2018-02-15;2500000.0;microempresarial
9191;masculino;comercio;almacen_de_ropa_en_;andalucia;2;2;2019-05-06;1725000.0;microempresarial
9192;femenino;servicio;productos_de_belleza;la_cruz;1;3;2017-05-12;6000000.0;microempresarial
9193;femenino;comercio;miscelanea;manrique_central_no__1;3;4;2018-02-12;7000000.0;microempresarial
9194;femenino;comercio;miscelanea;campo_valdes_no__2;2;3;2016-04-05;6890000.0;microempresarial
9196;masculino;comercio;tienda;sucre;3;8;2018-04-16;3000000.0;microempresarial
9197;femenino;comercio;variedades;doce_de_octubre_no_1;2;6;2016-04-11;1000000.0;microempresarial
9198;femenino;comercio;tienda;san_javier_no_1;2;13;2019-03-12;7000000.0;microempresarial
9199;masculino;comercio;variedades;belen;3;16;2017-07-17;2000000.0;microempresarial
9200;femenino;industria;fabrica_de_;belen;3;16;2017-08-25;7000000.0;microempresarial
9201;masculino;industria;ebanistaria;calasanz;2;12;2016-09-14;1250000.0;microempresarial
9202;femenino;comercio;distribuidora_de_;cabecera_san_cristobal;2;60;2018-07-05;7800000.0;microempresarial
9203;femenino;comercio;papeleria;robledo;2;7;2017-02-22;4000000.0;microempresarial
9204;femenino;industria;fabrica_de_;barrio_caicedo;1;9;2017-07-24;4000000.0;microempresarial
9205;masculino;comercio;cafe_e_internet;robledo;3;7;2017-10-13;5000000.0;microempresarial
9206;masculino;comercio;bares;castilla;3;5;2016-11-25;6894000.0;microempresarial
9207;femenino;industria;fabrica_de_;san_javier_no_1;3;13;2018-06-08;7000000.0;microempresarial
9208;masculino;servicio;recreativo_educativo;belalcazar;3;5;2018-05-24;7800000.0;microempresarial
9209;femenino;servicio;cafe_e_internet;villa_hermosa;1;8;2017-03-16;5000000.0;microempresarial
9210;masculino;comercio;distribuidora_de_;aranjuez;3;4;2018-08-13;7812000.0;microempresarial
9211;masculino;comercio;comidas_rapidas;alfonso_lopez;2;5;2017-05-15;3000000.0;microempresarial
9212;masculino;servicio;tienda;los_mangos;2;8;2018-03-06;7800000.0;microempresarial
9213;femenino;comercio;comidas_rapidas;la_milagrosa;2;9;2018-02-07;1500000.0;microempresarial
9214;femenino;comercio;fabrica_de_;robledo;3;7;2018-03-23;7800000.0;microempresarial
9215;femenino;industria;fabrica_de_;andalucia;2;2;2018-04-25;5000000.0;microempresarial
9216;masculino;servicio;miscelanea;castilla;3;5;2017-04-05;6000000.0;microempresarial
9217;masculino;comercio;variedades;popular;2;1;2017-09-21;7300000.0;microempresarial
9218;femenino;comercio;variedades;campo_valdes_no__1;3;4;2018-05-25;7800000.0;microempresarial
9219;femenino;comercio;distribuidora_de_;popular;1;1;2018-06-14;5000000.0;microempresarial
9220;femenino;industria;fabrica_de_;robledo;2;7;2016-12-16;4000000.0;microempresarial
9221;femenino;comercio;almacen_de_ropa_en_;loreto;3;9;2018-06-08;3500000.0;microempresarial
9222;femenino;comercio;tienda;villa_niza;2;2;2017-10-13;6000000.0;microempresarial
9223;masculino;comercio;fabrica_de_velas;robledo;2;7;2018-10-24;6000000.0;microempresarial
9224;femenino;servicio;peluqueria;santo_domingo_savio_;2;1;2016-06-29;5000000.0;microempresarial
9225;masculino;servicio;variedades;belen;3;16;2018-01-19;7800000.0;microempresarial
9226;femenino;industria;fabrica_de_;manrique_central_no__1;2;4;2018-09-27;7800000.0;microempresarial
9227;femenino;comercio;variedades;manrique_central_no__2;3;3;2017-08-03;7000000.0;microempresarial
9228;masculino;servicio;cafeteria;santa_elena_central;1;90;2016-05-18;6000000.0;microempresarial
9229;masculino;servicio;mantenimiento_en_;manrique_oriental;2;3;2017-10-11;1200000.0;microempresarial
9230;femenino;comercio;restaurante;doce_de_octubre_no_1;2;6;2019-05-16;5250000.0;microempresarial
9231;femenino;industria;fabrica_de_;castilla;3;5;2016-06-14;5000000.0;microempresarial
9232;femenino;comercio;variedades;manrique_central_no__1;1;4;2016-10-20;6890000.0;microempresarial
9233;femenino;servicio;peluqueria;robledo;2;7;2019-03-07;8000000.0;microempresarial
9234;femenino;industria;fabrica_de_;el_socorro;2;13;2017-05-05;4000000.0;microempresarial
9235;masculino;comercio;fabrica_de_;santo_domingo_savio_;1;1;2019-06-05;4000000.0;microempresarial
9236;masculino;industria;fabrica_de_;la_milagrosa;3;9;2018-08-08;4000000.0;microempresarial
9237;femenino;industria;fabrica_de_;manrique_central_no__1;1;4;2018-01-24;6500000.0;microempresarial
9238;femenino;comercio;variedades;popular;1;1;2018-10-26;4500000.0;microempresarial
9239;masculino;comercio;legumbreria;cabecera_san_antonio_;2;80;2018-05-21;3000000.0;microempresarial
